"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"61009432c7f5da94ea66e805",TRUE,FALSE,39,911,"TIMEDOUT"
"5b32599cc8e94a00018f22a5",TRUE,FALSE,64,292,"TIMEDOUT"
"5df4ed2eae7b303760a9d47c",TRUE,FALSE,84,1188,"TIMEDOUT"
"62dbde242c8f6f61e1d984c3",TRUE,FALSE,85,664,"TIMEDOUT"
"62d3667d6faa19edc7a37ec9",TRUE,FALSE,64,12063,"TIMEDOUT"
"5bcbfa2832e46700016f1c1d",TRUE,FALSE,89,1482,"TIMEDOUT"
"6168d307d622b1f522956be7",TRUE,FALSE,64,776,"TIMEDOUT"
"5dd396e15a40f2398c38e0e7",TRUE,FALSE,84,1712,"TIMEDOUT"
"5588ee6ffdf99b304dd48297",TRUE,FALSE,84,932,"TIMEDOUT"
"62753ba6947edadb945d0121",TRUE,FALSE,89,1118,"TIMEDOUT"
"6049c8d693e03ff3e193d762",TRUE,FALSE,64,376,"TIMEDOUT"
"614ea93d581d6f4281e9d232",TRUE,FALSE,64,926,"TIMEDOUT"
