"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"sf36_12","sf36","12","integer","item","SF36_12"
"sf36_13","sf36","13","integer","item","SF36_13"
"sf36_14","sf36","14","integer","item","SF36_14"
"sf36_15","sf36","15","integer","item","SF36_15"
"sf36_16","sf36","16","integer","item","SF36_16"
"sf36_17","sf36","17","integer","item","SF36_17"
"sf36_18","sf36","18","integer","item","SF36_18"
"sf36_19","sf36","19","integer","item","SF36_19"
"sf36_20","sf36","20","integer","item","SF36_20"
"sf36_21","sf36","21","integer","item","SF36_21"
"sf36_22","sf36","22","integer","item","SF36_22"
"sf36_23","sf36","23","integer","item","SF36_23"
"sf36_24","sf36","24","integer","item","SF36_24"
"sf36_25","sf36","25","integer","item","SF36_25"
"sf36_26","sf36","26","integer","item","SF36_26"
"sf36_27","sf36","27","integer","item","SF36_27"
"sf36_28","sf36","28","integer","item","SF36_28"
"sf36_29","sf36","29","integer","item","SF36_29"
"sf36_30","sf36","30","integer","item","SF36_30"
"sf36_31","sf36","31","integer","item","SF36_31"
"sf36_32","sf36","32","integer","item","SF36_32"
"sf36_33","sf36","33","integer","item","SF36_33"
"sf36_34","sf36","34","integer","item","SF36_34"
"sf36_35","sf36","35","integer","item","SF36_35"
"sf36_36","sf36","36","integer","item","SF36_36"
"survey_name","survey","name","factor","metadata","survey_name"
"submission_id_prolific","submission","id_prolific","factor","prolific_metadata","Submission.id_prolific"
"status_prolific","status","prolific","factor","prolific_metadata","Status_prolific"
"started_at_prolific","started","at_prolific","factor","prolific_metadata","Started.at_prolific"
"completed_at_prolific","completed","at_prolific","factor","prolific_metadata","Completed.at_prolific"
"reviewed_at_prolific","reviewed","at_prolific","factor","prolific_metadata","Reviewed.at_prolific"
"archived_at_prolific","archived","at_prolific","factor","prolific_metadata","Archived.at_prolific"
"time_taken_prolific","time","taken_prolific","integer","prolific_metadata","Time.taken_prolific"
"completion_code_prolific","completion","code_prolific","factor","prolific_metadata","Completion.code_prolific"
"total_approvals_prolific","total","approvals_prolific","integer","prolific_metadata","Total.approvals_prolific"
